Epithelial sample ID,Study ID,Haematological sample ID,Study ID,Neurological sample ID,Study ID,Sarcoma Sample ID,Study ID,Matched Normal sample ID,Study ID
TCGA-D8-A1JP-01A,BRCA,TARGET-20-PAXKTZ-09A,AML,TCGA-RY-A83X-01A,LGG,TCGA-WK-A8XT-01A,TCGA_SARC,TCGA-FL-A1YF-11A,TCGA-UCEC
TCGA-A2-A0ET-01A,BRCA,TARGET-20-PAWPCN-09A,AML,TCGA-RY-A843-01A,LGG,TCGA-SI-A71Q-01A,TCGA_SARC,TCGA-FL-A1YG-11A,TCGA-UCEC
TCGA-A7-A13F-01A,BRCA,TARGET-20-PAVNKI-09A,AML,TCGA-P5-A72W-01A,LGG,TCGA-DX-A3U8-01A,TCGA_SARC,TCGA-FL-A1YH-11A,TCGA-UCEC
TCGA-A7-A6VX-01A,BRCA,TARGET-20-PAWNGI-09A,AML,TCGA-TQ-A7RU-01A,LGG,TCGA-DX-A8BO-01A,TCGA_SARC,TCGA-FL-A1YI-11A,TCGA-UCEC
TCGA-AO-A03O-01A,BRCA,TARGET-20-PANIGD-09A,AML,TCGA-QH-A65S-01A,LGG,TCGA-DX-A23T-01A,TCGA_SARC,TCGA-FL-A1YL-11A,TCGA-UCEC
TCGA-D8-A147-01A,BRCA,TARGET-20-PAXJWS-09A,AML,TCGA-HT-7483-01A,LGG,TCGA-3B-A9HZ-01A,TCGA_SARC,TCGA-FL-A1YM-11A,TCGA-UCEC
TCGA-AO-A0J6-01A,BRCA,TARGET-20-PATEYS-09A,AML,TCGA-TM-A84S-01A,LGG,TCGA-DX-A48O-01A,TCGA_SARC,TCGA-FL-A1YN-11A,TCGA-UCEC
TCGA-AR-A1AI-01A,BRCA,TARGET-20-PAXHZL-09A,AML,TCGA-S9-A7R3-01A,LGG,TCGA-K1-A42W-01A,TCGA_SARC,TCGA-FL-A1YQ-11A,TCGA-UCEC
TCGA-E2-A10B-01A,BRCA,TARGET-20-PARZHI-09A,AML,TCGA-HT-7478-01A,LGG,TCGA-MJ-A68H-01A,TCGA_SARC,TCGA-FL-A1YT-11A,TCGA-UCEC
TCGA-E9-A1RF-01A,BRCA,TARGET-20-PAWLKP-09A,AML,TCGA-HT-7857-01A,LGG,TCGA-WK-A8XQ-01A,TCGA_SARC,TCGA-FL-A1YU-11A,TCGA-UCEC
TCGA-E2-A1IE-01A,BRCA,TARGET-20-PAUUSX-09A,AML,TCGA-TQ-A7RS-01A,LGG,TCGA-VT-AB3D-01A,TCGA_SARC,TCGA-FL-A3WE-11A,TCGA-UCEC
TCGA-E9-A1RB-01A,BRCA,TARGET-20-PAUUHV-09A,AML,TCGA-HT-7472-01A,LGG,TCGA-DX-A6YR-01A,TCGA_SARC,TCGA-AJ-A3NH-11A,TCGA-UCEC
TCGA-OL-A5RX-01A,BRCA,TARGET-20-PAVHWK-09A,AML,TCGA-VW-A8FI-01A,LGG,TCGA-K1-A6RT-01A,TCGA_SARC,TCGA-BG-A3PP-11A,TCGA-UCEC
TCGA-AO-A0JI-01A,BRCA,TARGET-20-PAWIUT-09A,AML,TCGA-HT-7482-01A,LGG,TCGA-QC-A6FX-01A,TCGA_SARC,TCGA-DI-A2QU-11A,TCGA-UCEC
TCGA-AN-A0XU-01A,BRCA,TARGET-20-PAXJNP-09A,AML,TCGA-HT-7695-01A,LGG,TCGA-DX-A6YZ-01A,TCGA_SARC,TCGA-DI-A2QY-11A,TCGA-UCEC
TCGA-BH-A42U-01A,BRCA,TARGET-20-PAPVGE-09A,AML,TCGA-QH-A65R-01A,LGG,TCGA-LI-A67I-01A,TCGA_SARC,TCGA-AJ-A2QL-11A,TCGA-UCEC
TCGA-A8-A09A-01A,BRCA,TARGET-20-PAVLWY-09A,AML,TCGA-HT-7476-01A,LGG,TCGA-HB-A3YV-01A,TCGA_SARC,TCGA-AJ-A3NC-11A,TCGA-UCEC
TCGA-E2-A159-01A,BRCA,TARGET-20-PAPZYS-09A,AML,TCGA-TM-A7CA-01A,LGG,TCGA-IE-A4EK-01A,TCGA_SARC,TCGA-AJ-A3NE-11A,TCGA-UCEC
TCGA-E2-A1AZ-01A,BRCA,TARGET-20-PAUUYJ-09A,AML,TCGA-HT-7854-01A,LGG,TCGA-DX-A23Y-01A,TCGA_SARC,TCGA-AX-A05Y-11A,TCGA-UCEC
TCGA-AO-A03U-01B,BRCA,TARGET-20-PARFGK-09A,AML,TCGA-S9-A7R4-01A,LGG,TCGA-IE-A4EH-01A,TCGA_SARC,TCGA-AX-A0IZ-11A,TCGA-UCEC
TCGA-AR-A24X-01A,BRCA,TARGET-20-PAWUEX-09A,AML,TCGA-TQ-A7RR-01A,LGG,TCGA-QQ-A5VB-01A,TCGA_SARC,TCGA-AX-A0J0-11A,TCGA-UCEC
TCGA-GM-A5PV-01A,BRCA,TARGET-20-PAWAMB-09A,AML,TCGA-DU-7008-01A,LGG,TCGA-DX-A3LU-01A,TCGA_SARC,TCGA-AX-A1CF-11A,TCGA-UCEC
TCGA-LL-A5YM-01A,BRCA,TARGET-20-PAUYWJ-09A,AML,TCGA-HW-8322-01A,LGG,TCGA-IE-A6BZ-01A,TCGA_SARC,TCGA-AX-A1CI-11A,TCGA-UCEC
TCGA-LL-A73Z-01A,BRCA,TARGET-20-PANKNB-09A,AML,TCGA-CS-4944-01A,LGG,TCGA-DX-AB2S-01A,TCGA_SARC,TCGA-AX-A1CK-11A,TCGA-UCEC
TCGA-D8-A1X8-01A,BRCA,TARGET-20-PAWFMF-09A,AML,TCGA-TQ-A7RG-01A,LGG,TCGA-DX-A6YS-01A,TCGA_SARC,TCGA-AX-A2H8-11A,TCGA-UCEC
TCGA-EW-A1P0-01A,BRCA,TARGET-20-PANRWM-09A,AML,TCGA-TM-A84M-01A,LGG,TCGA-X6-A7WA-01A,TCGA_SARC,TCGA-AX-A2HA-11A,TCGA-UCEC
TCGA-E9-A1NI-01A,BRCA,TARGET-20-PAVBMM-09A,AML,TCGA-DH-5142-01A,LGG,TCGA-3B-A9HI-01A,TCGA_SARC,TCGA-AX-A2HC-11A,TCGA-UCEC
TCGA-EW-A1PE-01A,BRCA,TARGET-20-PAWLGJ-09A,AML,TCGA-HT-7605-01A,LGG,TCGA-DX-A2J0-01A,TCGA_SARC,TCGA-AX-A2HD-11A,TCGA-UCEC
TCGA-D8-A1X7-01A,BRCA,TARGET-20-PAWRSI-09A,AML,TCGA-P5-A5EW-01A,LGG,TCGA-WK-A8Y0-01A,TCGA_SARC,TCGA-BG-A2AD-11A,TCGA-UCEC
TCGA-AN-A0FY-01A,BRCA,TARGET-20-PATBIP-09A,AML,TCGA-E1-5322-01A,LGG,TCGA-DX-AB2Z-01A,TCGA_SARC,TCGA-BG-A3EW-11A,TCGA-UCEC
TCGA-E9-A1NG-01A,BRCA,TARGET-20-PASVYA-09A,AML,TCGA-HW-7489-01A,LGG,TCGA-DX-AB30-01A,TCGA_SARC,TCGA-BK-A0CB-11A,TCGA-UCEC
TCGA-D8-A1JL-01A,BRCA,TARGET-20-PAWDTR-09A,AML,TCGA-TQ-A7RV-02A,LGG,TCGA-DX-A3UB-01A,TCGA_SARC,TCGA-BK-A4ZD-11A,TCGA-UCEC
